Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
Long Shot: The Dice Game,2022,1,8,25,14,0,5952,7.67777,7.11656,1.1516,36.13428571428572,1,Quick,Teen,Large
Small World,2009,2,5,80,8,7,69897,7.21461,7.11525,1.29895,36.902258064516126,14,Moderate,Young,Large
Above and Below,2015,2,4,90,13,7,15701,7.37136,7.11476,1.27,37.14536585365854,8,Moderate,Teen,Small
Arboretum,2015,2,4,30,8,1,19549,7.30521,7.11351,1.24595,39.916666666666664,8,Quick,Young,Small
Bonfire,2020,1,4,100,12,5,6030,7.68344,7.11107,1.24487,37.13142857142857,3,Long,PreTeen,Small
Nusfjord,2017,1,5,100,12,2,6128,7.64217,7.10896,1.19096,70.36272727272727,6,Long,PreTeen,Large
Merchants & Marauders,2010,2,4,180,13,3,14018,7.39394,7.1089,1.48502,60.34608695652174,13,Long,Teen,Small
BattleLore: Second Edition,2013,2,2,90,14,4,6303,7.68249,7.10853,1.35895,88.23470588235294,10,Moderate,Teen,Small
The King Is Dead: Second Edition,2020,2,4,45,14,0,6095,7.66604,7.10846,1.16186,31.857142857142858,3,Short,Teen,Small
Lords of Hellas,2018,1,4,90,14,6,7086,7.68584,7.10758,1.48254,114.10374999999999,5,Moderate,Teen,Small
Neuroshima Hex! 3.0,2006,1,4,30,13,15,14826,7.39166,7.10658,1.39668,30.48161290322581,17,Quick,Teen,Small
Dungeon Lords,2009,2,4,90,12,2,13803,7.36383,7.10649,1.43432,33.80305555555556,14,Moderate,PreTeen,Small
Tiletum,2022,1,4,100,14,1,4008,7.96699,7.10534,1.17557,37.498333333333335,1,Long,Teen,Small
Chinatown,1999,3,5,60,12,0,10938,7.42347,7.1046,1.34603,60.0,24,Short,PreTeen,Large
Tekhenu: Obelisk of the Sun,2020,1,4,120,14,4,5474,7.72782,7.10429,1.30869,41.570952380952384,3,Long,Teen,Small
Bärenpark,2017,2,4,45,8,3,18080,7.30479,7.10359,1.08766,39.166666666666664,6,Short,Young,Small
Mission: Red Planet (Second Edition),2015,2,6,90,14,1,11085,7.41323,7.10324,1.18476,29.857142857142858,8,Moderate,Teen,Large
Sid Meier's Civilization: The Board Game,2010,2,4,240,13,1,15699,7.37703,7.10268,1.50307,43.42166666666667,13,Very Long,Teen,Small
Letters from Whitechapel,2011,2,6,90,14,0,15760,7.35294,7.10077,1.36083,31.797999999999995,12,Moderate,Teen,Large
Dixit,2008,3,8,30,8,5,62312,7.20781,7.09825,1.3848,24.423030303030306,15,Quick,Young,Large
Skull King,2013,2,8,30,8,0,8839,7.50845,7.09773,1.32505,11.371666666666668,10,Quick,Young,Large
Star Wars: The Deckbuilding Game,2023,2,2,30,12,2,4250,7.95387,7.09724,1.17673,24.998,0,Quick,PreTeen,Small
Imperium: Classics,2021,1,4,120,14,6,5802,7.72009,7.09314,1.41797,47.24375,2,Long,Teen,Small
Innovation,2010,2,4,60,12,0,18020,7.29397,7.09208,1.60934,35.399,13,Short,PreTeen,Small
Harry Potter: Hogwarts Battle,2016,2,4,60,11,7,18126,7.38033,7.09168,1.3962,30.938000000000002,7,Short,PreTeen,Small
Mysterium,2015,2,7,42,10,8,42016,7.22948,7.09139,1.38387,28.929583333333337,8,Short,PreTeen,Large
Takenoko,2011,2,4,45,8,7,43237,7.22189,7.08999,1.19579,65.81829787234042,12,Short,Young,Small
Hannibal: Rome vs. Carthage,1996,2,2,200,12,1,4971,7.78023,7.08914,1.52126,54.408181818181816,27,Very Long,PreTeen,Small
